name	refnum	singleton	type	label	label_color	image	view_price	template	page	kind	parts	sample	series	category_ids	solution_ids	capacity	detail	annotation	small_detail	ingredient
ナチュラルテック　コンディショナー＜W＞	71174	0	Product::Naturaltech	保湿ケア用		wellbeing_img04	1890	naturaltech_w	naturaltech_w_1	コンディショナー		0	naturaltech	3	5	150mL	適度なうるおいを与え、ふんわりまとまる美しい髪質をつくります。1本1本をうるおいの膜で包み込む、クリームのようなテクスチャーと心地よい香りが特徴です。乾燥を防ぐホホバオイル<sup>＊</sup>を配合し、やわらかでスタイリングしやすい髪へと導きます。<br><br><small><sup>＊</sup>：エモリエント成分</small>		適度なうるおいを与え、ふんわりまとまる美しい髪質をつくります。	＜成分＞水・グリセリン・セタノール・セテアリルアルコール・セトリモニウムクロリド・エチナセアパリダエキス・ホホバ種子油・クエン酸・ベンジルアルコール・安息香酸Ｎａ・ＥＤＴＡ－２Ｎａ・リモネン・サリチル酸ベンジル・香料
ナチュラルテック　マッサージ　コンセントレイト＜W＞	71176	0	Product::Naturaltech	保湿ケア用		wellbeing_img06	5775	naturaltech_w	naturaltech_w_1	スカルプ美容液		0	naturaltech	4	5	100mL	乾燥しがちな頭皮をうるおし、健康な状態を保つリッチなテクスチャーの保湿ケア用美容液。ぬくもりのある香りに包まれながら、頭皮をやさしくマッサージします。頭皮環境を整えることで、健康でしなやかな髪へと導きます。乾燥してパサつく髪に集中美容液としても効果的です。		乾燥しがちな頭皮をうるおし、健康な状態を保つリッチなテクスチャーの保湿美容液。	＜成分＞水・ＰＧ・ポリソルベート２０・（アクリレーツ／アクリル酸アルキル（Ｃ１０－３０））クロスポリマー・エチナセアパリダエキス・ソルビン酸Ｋ・クエン酸・カプリリルグリコール・安息香酸Ｎａ・水酸化Ｎａ・リモネン・サリチル酸ベンジル・ヘキシルシンナマル・ヒドロキシイソヘキシル３－シクロヘキセンカルボキサルデヒド・リナロール・ヒドロキシシトロネラール・オイゲノール・アミルケイヒアルデヒド・シトロネロール・ゲラニオール・香料
ナチュラルテック　トラベルキット＜N＞	DNR007	0	Product::Naturaltech	ダメージヘア用		N_IMG_s	1890	naturaltech_n	naturaltech_n_k	シャンプー コンディショナー		0	naturaltech	1 2 3		シャンプー：100mL<br>コンディショナー：60mL	【シャンプー】<br>乾燥やパサつきが気になるヘアに輝くような艶とハリをもたらします。グレープエキス<sup>＊1</sup>が傷んだ髪をしっかりと補修します。高い保護・保湿作用でしられるアサイーオイルを配合。マンダリン、プチグレン、イランイランの甘く官能的な香りが心までも包み込み、ダメージのない健やかな髪を目指します。<br><br>【コンディショナー】<br>指どおりもなめらかに、シルクのような手触りへと導きます。日々蓄積する髪の傷みを効果的に補修し、うるおいに満ちたしっとりヘアを実現。保護作用の高いコメヌカオイル 、ホホバオイル<sup>＊2</sup>が乾燥を防ぎ、健康的でしなやかな髪をキープします。<br><br><small><sup>＊1</sup>：保護成分</small>　<small><sup>＊2</sup>：エモリエント成分</small>	<sup>＊1</sup>：保護成分　<sup>＊2</sup>：エモリエント成分		＜成分＞水・ラウロイルメチルイセチオン酸Ｎａ・ココアンホジ酢酸２Ｎａ・ポリソルベート２０・グリセリン・クダモノトケイソウ種子油・コメヌカ油・アサイヤシ果実油・ブドウ葉エキス・ヤシ油アルキルグルコシド・オレイン酸グリセリル・（アクリレーツ／アクリル酸アルキル（Ｃ１０－３０））クロスポリマー・ココイルイセチオン酸Ｎａ・ラウロアンホ酢酸Ｎａ・ココイルメチルタウリンＮａ・エチレンジアミンジコハク酸３Ｎａ・ジステアリン酸グリコール・ポリクオタニウム－１０・ＥＤＴＡ－２Ｎａ・ポリクオタニウム－６７・ステアリン酸グリセリル・ヘキシルシンナマル・リナロール・リモネン・水酸化Ｎａ・ベンジルアルコール・安息香酸Ｎａ・香料・黄４・赤２２７・青１＜成分＞水・セテアリルアルコール・グリセリン・セトリモニウムクロリド・ベヘントリモニウムクロリド・クダモノトケイソウ種子油・コメヌカ油・アサイヤシ果実油・ホホバ種子油・水添アーモンド油・加水分解コムギタンパク・ブドウ葉エキス・ベヘントリモニウムメトサルフェート・ベンジルアルコール・クエン酸・安息香酸Ｎａ・ヘキシルシンナマル・リナロール・リモネン・香料
ナチュラルテック　トラベルキット＜W＞	DNR008	0	Product::Naturaltech	保湿ケア用		W_IMG_s	1890	naturaltech_w	naturaltech_w_k	シャンプー コンディショナー		0	naturaltech	1 2 3		シャンプー：100mL<br>コンディショナー：60mL	【シャンプー】<br>乾燥しやすい頭皮と髪のうるおいをキープします。環境の変化を受けやすい髪を強くしなやかな髪質へと導きます。髪のうるおいを保つエチナセア<sup>＊1</sup>配合で、理想的なふんわりとまとまるヘアに仕上げます。クローブ、ナツメグ、サンダルウッドのぬくもりのある女性らしい香りが、癒しのバスタイムを演出します。<br><br>【コンディショナー】<br>適度なうるおいを与え、ふんわりまとまる美しい髪質をつくります。1本1本をうるおいの膜で包み込む、クリームのようなテクスチャーと心地よい香りが特徴です。乾燥を防ぐホホバオイル<sup>＊2</sup>を配合し、やわらかでスタイリングしやすい髪へと導きます。<br><br><small><sup>＊1</sup>：コンディショニング成分<sup></small>　<small>＊2</sup>：エモリエント成分</small>	<sup>＊1</sup>：コンディショニング成分　<sup>＊2</sup>：エモリエント成分		＜成分＞水・ラウロイルメチルイセチオン酸Ｎａ・ココアンホジ酢酸２Ｎａ・グリセリン・ラウロイルサルコシンＮａ・（アクリレーツ／アクリル酸アルキル（Ｃ１０－３０））クロスポリマー・ジステアリン酸グリコール・エチナセアパリダエキス・ポリクオタニウム－１０・ヤシ油アルキルグルコシド・ポリクオタニウム－６７・ポリソルベート２０・ステアリン酸グリセリル・オレイン酸グリセリル・塩化Ｎａ・エチレンジアミンジコハク酸３Ｎａ・ＥＤＴＡ－２Ｎａ・ベンジルアルコール・安息香酸Ｎａ・サリチル酸ベンジル・リモネン・ヘキシルシンナマル・クエン酸・香料＜成分＞水・グリセリン・セタノール・セテアリルアルコール・セトリモニウムクロリド・エチナセアパリダエキス・ホホバ種子油・クエン酸・ベンジルアルコール・安息香酸Ｎａ・ＥＤＴＡ－２Ｎａ・リモネン・サリチル酸ベンジル・香料
オーセンティック　ネクター	74010	0	Product::Authentic	シャンプー		nectar_img	2310	authentic_01	authentic_01	シャンプー	hair body	0	authentic	2	3	280mL	<em>美しく健康な髪を叶える、濃密シャンプー</em><br><br>オイルテクスチャーが新しい“ネクター”（ギリシャ神話では神々が飲む生命の酒）と呼ばれる、天然のリキュールのようなシャンプー。98％が自然由来成分で、保護機能の高いオーガニック由来のベニバナ油<sup>＊</sup>を配合しています。汚れをしっかりと落としながらも、頭皮をやさしく守ります。泡立ちの心配やゴワつきを感じさせない、ストレスフリーなシャンプーです。<br><br><small><sup>＊</sup>：エモリエント成分</small>		汚れをしっかりと落としながらも、頭皮をやさしく守ります。	＜成分＞水・デシルグルコシド・コカミドＭＩＰＡ・ココイルイセチオン酸Ｎａ・（カプリリル／カプリル）グルコシド・ラウロアンホ酢酸Ｎａ・ココイルメチルタウリンＮａ・グリセリン・サフラワー油・ラウロイルカラスムギアミノ酸Ｎａ・オレイン酸グリセリル・ヤシ油アルキルグルコシド・グアーヒドロキシプロピルトリモニウムクロリド・クエン酸・ベンジルアルコール・ソルビン酸Ｋ・安息香酸Ｎａ・リモネン・リナロール・香料
オーセンティック　バーム	74011	0	Product::Authentic	コンディショナー		balm_img	2100	authentic_02	authentic_02	コンディショナー	hair face body	0	authentic	3	3	150mL	<em>潤いと優美を纏う、マルチなバーム</em><br><br>バームと呼ばれるオイルベースのコンディショナーは様々なヘアの悩みにアプローチします。98％が自然由来成分で、フェイスやボディにパックとしても使えるマルチな処方です。保護機能の高いベニバナ油<sup>＊1</sup>をはじめとした世界のオーガニック植物のブレンドがエイジングケア<sup>＊2</sup>に働きます。洗いあがりはふんわり、しなやか。洗練された天然のアロマブレンドがほのかに香ります。<br><br><small><sup>＊1</sup>：エモリエント成分　<sup>＊2</sup>：エイジングケアとは、年齢に応じた化粧品によるケアのことです。</small>		洗いあがりはふんわり、しなやか。洗練された天然アロマブレンドがほのかに香ります。フェイスやボディパックとしても使えます。	＜成分＞水・セテアリルアルコール・グリセリン・カプリル酸ヤシ油アルキル・セトリモニウムクロリド・ステアリン酸グリセリル・ベヘントリモニウムメトサルフェート・ベヘントリモニウムクロリド・サフラワー油・シア脂・ゴマ油・ヒマワリ種子油・ホホバ種子油・トコフェロール・ソルビトール・ステアリン酸・ラウロイルグルタミン酸Ｎａ・（カプリリル／カプリル）グルコシド・ベンジルアルコール・安息香酸フェネチル・香料・イソプロパノール・ソルビン酸Ｋ・クエン酸・リモネン・リナロール
オーセンティック　オイル	74012	0	Product::Authentic	オイル		oil_img	3780	authentic_03	authentic_03	オイル	hair face body	0	authentic	5	2	140mL	<em>ツヤ感にうっとり、100％天然オイル</em><br><br>天然の恵み100％の真正なオイルです。アロマブレンドのやさしい香りは、朝の目覚めをすっきりと、夜の眠りを安らかに演出します。保護機能の高いオーガニック由来のベニバナ油<sup>＊</sup>をたっぷりと配合し、保湿効果に優れたオーガニック由来のホホバオイル<sup>＊</sup>、ひまわり油<sup>＊</sup>、セサミオイル<sup>＊</sup>をブレンドしました。毛先のダメージを補修し、艶やかな髪をキープします。フェイス、ボディにも使える高機能な万能オイルです。<br><br><small><sup>＊</sup>:エモリエント成分</small>		毛先のダメージを補修し、艶やかな髪をキープします。	＜成分＞ゴマ油・サフラワー油・ヒマワリ種子油・ホホバ種子油・香料・エンピツビャクシン油・リモネン・レモン果皮油・リナロール・ニオイテンジクアオイ油・マンダリンオレンジ果皮油・トコフェロール・ベルガモット果実油・シトロネロール・ユーカリ葉油・ゲラニオール・ビターオレンジ花油・チューベロースエキス・シトラール・ダマスクバラ花油
オーセンティック　バター	74013	0	Product::Authentic	クリーム		butter_img	3150	authentic_04	authentic_04	クリーム	hair face body	0	authentic	4	2	200mL	<em>うるおい満たす、ユニークな濃厚バター</em><br><br>やさしさにつつみ込まれるような感覚のクリームは、うるおいを保持するだけでなく、老化の大敵である乾燥から守ります。98％が自然由来成分であり、保護機能の高いオーガニック由来のベニバナ油<sup>＊</sup>をたっぷり配合。さらにオーガニック由来のホホバオイル<sup>＊</sup>、セサミオイル<sup>＊</sup>、シアバター<sup>＊</sup>を配合し、髪や肌をなめらかに、美しい艶を与えます。ダメージヘアにはシャンプー前の「プレパック」としての使用がおすすめです。<br><br><small>＊:エモリエント成分</small>		うるおいを保持するだけでなく、乾燥から守ります。	＜成分＞水・炭酸ジカプリリル・セテアリルアルコール・ホホバ種子油・グリセリン・カプリル酸ヤシ油アルキル・セテアリルグルコシド・サフラワー油・ゴマ油・ステアリン酸グリセリル・シア脂・ヒマワリ種子油・トコフェロール・ベヘントリモニウムメトサルフェート・ベンジルアルコール・ソルビン酸Ｋ・リモネン・リナロール・ゲラニオール・シトロネロール・香料
オイ　オイル	73303	1	Product::OiOil			oioil	2310	oioil	oioil	オイル		0	oioil	5	5	50mL			オイオイルは自然由来の希少なルクオイル<sup>*</sup>を使用し、ボリューム感を損なうことなく、柔軟性と輝きを髪に与えることを目的に作られました。指通りを滑らかにし、もつれを軽減。ドライヤーの熱や乾燥から髪を守ります。<br><br>※洗い流さないトリートメントとしても使用できます。<br><br><div style='text-align:right;'><small>＊：エモリエント成分</small></div>	＜成分＞シクロペンタシロキサン・ジシロキサン・ジメチコノール・シクロヘキサシロキサン・メトキシケイヒ酸エチルヘキシル・トコフェロール・ヒマワリ種子油・ベニノキ種子油・シトロネロール・オオミテングヤシ果実油・ゲラニオール・リナロール・αーイソメチルイオノン・リモネン・香料
オイ　オイル　L	73302	0	Product::OiOil			oioil_l	4200	oioil	oioil	オイル		0	oioil	5	5	135mL			オイオイルは自然由来の希少なルクオイル<sup>*</sup>を使用し、ボリューム感を損なうことなく、柔軟性と輝きを髪に与えることを目的に作られました。指通りを滑らかにし、もつれを軽減。ドライヤーの熱や乾燥から髪を守ります。<br><br>※洗い流さないトリートメントとしても使用できます。<br><br><div style='text-align:right;'><small>＊：エモリエント成分</small></div>	＜成分＞シクロペンタシロキサン・ジシロキサン・ジメチコノール・シクロヘキサシロキサン・メトキシケイヒ酸エチルヘキシル・トコフェロール・ヒマワリ種子油・ベニノキ種子油・シトロネロール・オオミテングヤシ果実油・ゲラニオール・リナロール・αーイソメチルイオノン・リモネン・香料
モアインサイド　ルチアーノ	87015	0	Product::MoreInside	良質なストレートスタイルに	#e27807	luciano_img02 luciano_img	2100	moreinside_01	moreinside_01	ヘア乳液	keeplevel1	0	moreinside	6		125mL	うるおいと滑らかさを与えるクリーミーなヘア乳液。シルクのような、パーフェクトなストレートヘアを目指します。クセのある髪を潤し、軽やかさと艶を与えます。ヘアアイロンを使用すれば、より高い保湿効果を実感できます。		パーフェクトなストレートヘアを目指します。クセのある髪を潤し、軽やかさと艶を与えます。	＜成分＞水・ジメチコン・プロパンジオール・シクロペンタシロキサン・（ビニルカプロラクタム／ＶＰ／メタクリル酸ジメチルアミノエチル）コポリマー・シクロヘキサシロキサン・（アクリル酸Ｎａ／アクリロイルジメチルタウリンＮａ）コポリマー・フェニルプロピルジメチルシロキシケイ酸・パンテノール・香料・カプリリルグリコール・ベンジルアルコール・ジメチコノール・（アクリレーツ／アクリル酸アルキル（Ｃ１０－３０））クロスポリマー・ＡＭＰ・カプリルヒドロキサム酸・グリセリン・フィチン酸Ｎａ・リナロール・リモネン
モアインサイド　チェリー	87014	0	Product::MoreInside	柔らかウェーブスタイルに	#cb8095	cheerie_img02 cherie_img	2310	moreinside_02	moreinside_02	ヘアミルク	keeplevel2	0	moreinside	6		250mL	ウェーブのかかった髪を艶のあるカールヘアに仕上げる、カール用ヘアミルク。うるおいとセット力を兼ね備え、固まることなくカールに弾力を持たせます。湿気にも強く、自然な輝きを与え、縮れ毛を抑制します。		うるおいとセット力を兼ね備え、固まることなくカールに弾力を持たせます。	＜成分＞水・グリセリン・（ＶＰ／アクリル酸ＤＭＡＰＡ）コポリマー・セテアリルアルコール・パンテノール・ポリクオタニウム－３７・ベヘントリモニウムクロリド・アモジメチコン・ジ（カプリル酸／カプリン酸）ＰＧ・ベンジルアルコール・香料・（ビニルカプロラクタム／ＶＰ／メタクリル酸ジメチルアミノエチル）コポリマー・安息香酸Ｎａ・ＰＰＧ－１トリデセス－６・セトリモニウムクロリド・トリデセス－１２・クエン酸・シクロペンタシロキサン・リナロール・オレイン酸ソルビタン・リモネン・ベンザルコニウムクロリド
モアインサイド　ジーナ	87012	0	Product::MoreInside	大人のアレンジヘアに	#e69c43	gina_img02 gina_img	2310	moreinside_03	moreinside_03	ヘアジェル	keeplevel3	0	moreinside	6		250mL	適度なセット力を保つうるおいジェル。髪に立体感を与え、スタイルをキープします。べたつきを残さず瞬時に乾き、まとまりの悪い髪を、しなやかな状態に整えます。巻き髪やウェーブのかかったカールヘアにもうるおいを与え、まとめ髪やアレンジヘアにも最適です。		べたつきを残さず瞬時に乾き、まとまりの悪い髪を、しなやかな状態に整えます。	＜成分＞水・（ビニルピロリドン／ＶＡ）コポリマー・ポリクオタニウム－１０・プロパンジオール・ポリソルベート２０・ベンジルアルコール・安息香酸Ｎａ・香料・クエン酸・リナロール・リモネン
